sublineage,time,mean,upper,lower,time_correct,year,upper_log,lower_log,log
L3.1.1.1,130565.6724,22380399.25,4.46E+07,160983.5665,304.6044378,1715.395562,7.649334859,5.206781545,6.428058202
L3.1.1.1,132261.3305,22337493.67,4.45E+07,158659.133,308.5384434,1711.461557,7.648360011,5.200465077,6.424412544
L3.1.1.1,133956.9886,22376819.39,4.46E+07,153823.8511,312.5192825,1707.480718,7.649334859,5.18702368,6.418179269
L3.1.1.1,135652.6467,22375141.22,4.46E+07,150467.4964,316.4532881,1703.546712,7.649334859,5.177442695,6.413388777
L3.1.1.1,137348.3047,22444983.28,4.47E+07,146774.8918,320.3872938,1699.612706,7.650307523,5.166651769,6.408479646
L3.1.1.1,139043.9628,22611281.59,4.51E+07,144676.9687,324.3681328,1695.631867,7.654176542,5.160399401,6.407287971
L3.1.1.1,140739.6209,22682635.99,4.52E+07,142993.953,328.3021385,1691.697862,7.655138435,5.155317672,6.405228054
L3.1.1.1,142435.279,22821858,4.55E+07,140775.9032,332.2829775,1687.717022,7.658011397,5.148528322,6.40326986
L3.1.1.1,144130.9371,22820987.62,4.55E+07,139035.1427,336.2169832,1683.783017,7.658011397,5.143124587,6.400567992
L3.1.1.1,145826.5951,22922162.59,4.57E+07,136582.7563,340.1978223,1679.802178,7.6599162,5.135395873,6.397656036
L3.1.1.1,147522.2532,22921106.99,4.57E+07,134471.5642,344.1318279,1675.868172,7.6599162,5.128630457,6.394273328
L3.1.1.1,149217.9113,23003764.86,4.59E+07,132595.5052,348.112667,1671.887333,7.661812686,5.122528802,6.392170744
L3.1.1.1,150913.5694,23018748.84,4.59E+07,130621.3146,352.0466726,1667.953327,7.661812686,5.11601405,6.388913368
L3.1.1.1,152609.2275,23089201.61,4.60E+07,129346.0427,356.0275117,1663.972488,7.662757832,5.111753146,6.387255489
L3.1.1.1,154304.8856,23089918.18,4.61E+07,127499.6372,359.9615173,1660.038483,7.663700925,5.105508949,6.384604937
